lokacija,ime,cena,ocena gostov,število zvezdic
Amsterdam,The July - Boat & Co,€ 497,"9,2",4
Amsterdam,Grand Hotel Downtown,€ 565,"7,7",4
Amsterdam,Van der Valk Hotel Amsterdam Zuidas -Rai,€ 763,"8,7",4
Amsterdam,"Park Centraal Amsterdam, part of Sircle Collection",€ 567,"8,2",4
Amsterdam,DoubleTree by Hilton Amsterdam Centraal Station,€ 699,"7,6",4
Amsterdam,Eden Hotel Amsterdam,€ 470,"8,2",4
Amsterdam,De Ware Jacob Boutique Hotel,€ 544,"9,1",4
Amsterdam,"Radisson Blu Hotel, Amsterdam City Center",€ 687,"8,4",4
Amsterdam,The Lancaster Hotel Amsterdam,€ 484,"7,8",4
Amsterdam,YOTEL Amsterdam,€ 446,"8,1",4
Amsterdam,NH Collection Amsterdam Flower Market,€ 613,"8,5",4
Amsterdam,Banks Mansion - All Inclusive Boutique Hotel,€ 621,"8,8",4
Amsterdam,The July - Twenty Eight,€ 482,"9,1",4
Amsterdam,NH Amsterdam Schiller,€ 600,"8,2",4
Amsterdam,Park Plaza Victoria Amsterdam,€ 764,"8,5",4
Amsterdam,"The Pavilions Amsterdam, The Toren",€ 610,"8,9",4
Amsterdam,DoubleTree by Hilton Amsterdam - NDSM Wharf,€ 812,"8,4",4
Amsterdam,INNSiDE by Meliá Amsterdam,€ 659,"8,6",4
Amsterdam,Huygens Place Amsterdam,€ 523,"8,6",4
Amsterdam,Park Plaza Vondelpark Amsterdam,€ 715,"8,6",4
Amsterdam,"The College Hotel Amsterdam, Autograph Collection",€ 661,"8,2",4
Amsterdam,"art'otel amsterdam, Powered by Radisson Hotels",€ 891,"8,8",4
Amsterdam,Sonder Park House,€ 608,"7,5",4
Amsterdam,Boutique Hotel Notting Hill,€ 701,"8,7",4
Amsterdam,Bob W Amsterdam Noord,€ 587,"8,8",4
Amsterdam,The Unbound Amsterdam,€ 418,"8,5",4
Amsterdam,Swissôtel Amsterdam,€ 1.003,"8,2",4
Amsterdam,Eric Vökel Boutique Apartments - Amsterdam Suites,€ 1.204,"8,7",4
Amsterdam,Olympic Hotel,€ 380,"8,5",4
Amsterdam,Hotel V Fizeaustraat,€ 369,"8,9",4
Amsterdam,YAYS Amsterdam Maritime by Numa,€ 405,"8,4",4
Amsterdam,Nova Apartments Amsterdam,€ 502,"8,6",4
Amsterdam,Bob W Oosterpark,€ 463,"9,0",4
Amsterdam,Ruby Emma Hotel Amsterdam,€ 452,"8,6",4
Amsterdam,Grand Canal Boutique Hotel,€ 693,"7,7",4
Amsterdam,Hyatt Regency Amsterdam,€ 1.811,"8,4",5
Amsterdam,"InterContinental Amstel Amsterdam, an IHG Hotel",€ 921,"8,7",5
Amsterdam,Sofitel Legend The Grand Amsterdam,€ 701,"8,9",5
Amsterdam,Grand Hotel Amrâth Amsterdam,€ 612,"7,7",5
Amsterdam,Conservatorium Hotel,€ 1.038,"8,9",5
Amsterdam,Pillows Grand Boutique Hotel Maurits at the Park - Small Luxury Hotels,€ 897,"9,4",5
Amsterdam,W Amsterdam,€ 868,"7,6",5
Amsterdam,Hilton Amsterdam,€ 973,"8,0",5
Amsterdam,Andaz Amsterdam Prinsengracht - a concept by Hyatt,€ 1.007,"8,8",5
Amsterdam,Amsterdam Marriott Hotel,€ 872,"8,0",5
Amsterdam,Anantara Grand Hotel Krasnapolsky Amsterdam,€ 842,"8,7",5
Amsterdam,De L’Europe Amsterdam – The Leading Hotels of the World,€ 1.169,"8,9",5
Amsterdam,Brasss Hotel Suites,€ 442,"8,9",5
